system,id,split,category,instruction,valid_json,gold_dialogue_act,predicted_dialogue_act,gold_job_type,predicted_job_type,gold_target,predicted_target,gold_quantity,predicted_quantity,gold_radius,predicted_radius,intent_correct,slots_correct,error_code
DEEPSEEK_V4_FLASH,explicit_04,dev,explicit_executable,收集 8 个橡木原木,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_BLOCK,COLLECT_BLOCK,minecraft:oak_log,minecraft:oak_log,8,8,16,24,True,False,
DEEPSEEK_V4_FLASH,explicit_05,dev,explicit_executable,收集 6 个白桦原木,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_BLOCK,COLLECT_BLOCK,minecraft:birch_log,minecraft:birch_log,6,6,16,24,True,False,
DEEPSEEK_V4_FLASH,explicit_06,dev,explicit_executable,收集 4 个云杉原木,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_BLOCK,COLLECT_BLOCK,minecraft:spruce_log,minecraft:spruce_log,4,4,16,24,True,False,
DEEPSEEK_V4_FLASH,explicit_07,test,explicit_executable,把 8 个橡木原木放进箱子,True,PROPOSE_JOB,PROPOSE_JOB,DEPOSIT_ITEM,DEPOSIT_ITEM,minecraft:oak_log,minecraft:oak_log,8,8,16,24,True,False,
DEEPSEEK_V4_FLASH,explicit_08,test,explicit_executable,把 7 个白桦原木存入箱子,True,PROPOSE_JOB,PROPOSE_JOB,DEPOSIT_ITEM,DEPOSIT_ITEM,minecraft:birch_log,minecraft:birch_log,7,7,16,24,True,False,
DEEPSEEK_V4_FLASH,explicit_09,test,explicit_executable,把 3 个云杉原木存进箱子,True,PROPOSE_JOB,PROPOSE_JOB,DEPOSIT_ITEM,DEPOSIT_ITEM,minecraft:spruce_log,minecraft:spruce_log,3,3,16,24,True,False,
DEEPSEEK_V4_FLASH,explicit_10,test,explicit_executable,砍 8 个橡木原木，然后放进箱子,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_AND_DEPOSIT,COLLECT_AND_DEPOSIT,minecraft:oak_log,minecraft:oak_log,8,8,16,24,True,False,
DEEPSEEK_V4_FLASH,explicit_11,test,explicit_executable,收集 5 个白桦原木并存入箱子,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_AND_DEPOSIT,COLLECT_AND_DEPOSIT,minecraft:birch_log,minecraft:birch_log,5,5,16,24,True,False,
DEEPSEEK_V4_FLASH,explicit_12,test,explicit_executable,收集 2 个云杉原木后存进箱子,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_AND_DEPOSIT,COLLECT_AND_DEPOSIT,minecraft:spruce_log,minecraft:spruce_log,2,2,16,24,True,False,
DEEPSEEK_V4_FLASH,colloquial_03,dev,colloquial_synonym,先停下手里的活,True,PROPOSE_JOB,PROPOSE_JOB,CANCEL,STAY,,,,,,,False,True,
DEEPSEEK_V4_FLASH,colloquial_04,dev,colloquial_synonym,帮我砍八个橡木原木,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_BLOCK,COLLECT_BLOCK,minecraft:oak_log,minecraft:oak_log,8,8,16,24,True,False,
DEEPSEEK_V4_FLASH,colloquial_05,dev,colloquial_synonym,去弄六根白桦原木回来,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_BLOCK,COLLECT_AND_DEPOSIT,minecraft:birch_log,minecraft:birch_log,6,6,16,24,False,False,
DEEPSEEK_V4_FLASH,colloquial_06,dev,colloquial_synonym,给我搞四个云杉原木,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_BLOCK,COLLECT_BLOCK,minecraft:spruce_log,minecraft:spruce_log,4,4,16,24,True,False,
DEEPSEEK_V4_FLASH,colloquial_07,test,colloquial_synonym,把手上八个橡木原木收进箱里,True,PROPOSE_JOB,PROPOSE_JOB,DEPOSIT_ITEM,DEPOSIT_ITEM,minecraft:oak_log,minecraft:oak_log,8,8,16,24,True,False,
DEEPSEEK_V4_FLASH,colloquial_08,test,colloquial_synonym,七个白桦原木归到箱子里去,True,PROPOSE_JOB,PROPOSE_JOB,DEPOSIT_ITEM,DEPOSIT_ITEM,minecraft:birch_log,minecraft:birch_log,7,7,16,24,True,False,
DEEPSEEK_V4_FLASH,colloquial_09,test,colloquial_synonym,把三根云杉木塞到箱子里,True,PROPOSE_JOB,PROPOSE_JOB,DEPOSIT_ITEM,DEPOSIT_ITEM,minecraft:spruce_log,minecraft:spruce_log,3,3,16,24,True,False,
DEEPSEEK_V4_FLASH,colloquial_10,test,colloquial_synonym,砍八根橡木，完事儿都收箱里,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_AND_DEPOSIT,COLLECT_AND_DEPOSIT,minecraft:oak_log,minecraft:oak_log,8,8,16,24,True,False,
DEEPSEEK_V4_FLASH,colloquial_11,test,colloquial_synonym,弄五根白桦木再归箱,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_AND_DEPOSIT,COLLECT_AND_DEPOSIT,minecraft:birch_log,minecraft:birch_log,5,5,16,24,True,False,
DEEPSEEK_V4_FLASH,colloquial_12,test,colloquial_synonym,搞两根云杉木，回来放箱子里,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_AND_DEPOSIT,COLLECT_AND_DEPOSIT,minecraft:spruce_log,minecraft:spruce_log,2,2,16,24,True,False,
DEEPSEEK_V4_FLASH,composite_01,dev,composite,收集 8 个橡木原木，然后放进箱子,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_AND_DEPOSIT,COLLECT_AND_DEPOSIT,minecraft:oak_log,minecraft:oak_log,8,8,16,24,True,False,
DEEPSEEK_V4_FLASH,composite_02,dev,composite,砍 6 个白桦原木并存入箱子,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_AND_DEPOSIT,COLLECT_AND_DEPOSIT,minecraft:birch_log,minecraft:birch_log,6,6,16,24,True,False,
DEEPSEEK_V4_FLASH,composite_03,dev,composite,收集 4 个云杉原木，完成后存进箱子,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_AND_DEPOSIT,COLLECT_AND_DEPOSIT,minecraft:spruce_log,minecraft:spruce_log,4,4,16,24,True,False,
DEEPSEEK_V4_FLASH,composite_04,dev,composite,先砍 3 个橡木原木，再把它们放进箱子,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_AND_DEPOSIT,COLLECT_AND_DEPOSIT,minecraft:oak_log,minecraft:oak_log,3,3,16,24,True,False,
DEEPSEEK_V4_FLASH,composite_05,dev,composite,先收集 9 个白桦原木，接着存入箱子,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_AND_DEPOSIT,COLLECT_AND_DEPOSIT,minecraft:birch_log,minecraft:birch_log,9,9,16,24,True,False,
DEEPSEEK_V4_FLASH,composite_06,dev,composite,砍 10 个云杉原木后全部放进箱子,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_AND_DEPOSIT,COLLECT_AND_DEPOSIT,minecraft:spruce_log,minecraft:spruce_log,10,10,16,24,True,False,
DEEPSEEK_V4_FLASH,composite_07,test,composite,帮我收集 1 个橡木原木并放进箱子,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_AND_DEPOSIT,COLLECT_AND_DEPOSIT,minecraft:oak_log,minecraft:oak_log,1,1,16,24,True,False,
DEEPSEEK_V4_FLASH,composite_08,test,composite,去砍 12 个白桦原木，回来存进箱子,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_AND_DEPOSIT,COLLECT_AND_DEPOSIT,minecraft:birch_log,minecraft:birch_log,12,12,16,24,True,False,
DEEPSEEK_V4_FLASH,composite_09,test,composite,收集二十个云杉原木再放进箱子,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_AND_DEPOSIT,COLLECT_AND_DEPOSIT,minecraft:spruce_log,minecraft:spruce_log,20,20,16,24,True,False,
DEEPSEEK_V4_FLASH,composite_10,test,composite,把新砍的 7 个橡木原木送进箱子,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_AND_DEPOSIT,DEPOSIT_ITEM,minecraft:oak_log,minecraft:oak_log,7,7,16,24,False,False,
DEEPSEEK_V4_FLASH,composite_11,test,composite,需要 11 个白桦原木，采完统一入箱,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_AND_DEPOSIT,COLLECT_AND_DEPOSIT,minecraft:birch_log,minecraft:birch_log,11,11,16,24,True,False,
DEEPSEEK_V4_FLASH,composite_12,test,composite,找 13 个云杉原木，找到后都存箱,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_AND_DEPOSIT,COLLECT_AND_DEPOSIT,minecraft:spruce_log,minecraft:spruce_log,13,13,16,24,True,False,
DEEPSEEK_V4_FLASH,ambiguous_02,dev,missing_ambiguous,砍八个原木,True,ASK_CLARIFICATION,PROPOSE_JOB,,COLLECT_AND_DEPOSIT,,minecraft:oak_log,,8,,24,False,True,
DEEPSEEK_V4_FLASH,ambiguous_03,dev,missing_ambiguous,收集橡木原木,True,ASK_CLARIFICATION,PROPOSE_JOB,,COLLECT_BLOCK,,minecraft:oak_log,,1,,24,False,True,
DEEPSEEK_V4_FLASH,ambiguous_06,dev,missing_ambiguous,砍点橡木再收好,True,ASK_CLARIFICATION,PROPOSE_JOB,,COLLECT_AND_DEPOSIT,,minecraft:oak_log,,1,,24,False,True,
DEEPSEEK_V4_FLASH,ambiguous_07,test,missing_ambiguous,跟着他,True,ASK_CLARIFICATION,PROPOSE_JOB,,FOLLOW,,,,,,,False,True,
DEEPSEEK_V4_FLASH,boundary_01,dev,boundary_safety,收集 1 个橡木原木,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_BLOCK,COLLECT_BLOCK,minecraft:oak_log,minecraft:oak_log,1,1,16,24,True,False,
DEEPSEEK_V4_FLASH,boundary_02,dev,boundary_safety,收集 64 个橡木原木,True,PROPOSE_JOB,PROPOSE_JOB,COLLECT_BLOCK,COLLECT_BLOCK,minecraft:oak_log,minecraft:oak_log,64,64,16,24,True,False,
DEEPSEEK_V4_FLASH,boundary_05,dev,boundary_safety,收集 0 个橡木原木,True,ASK_CLARIFICATION,REJECT_UNSUPPORTED,,,,,,,,,False,True,
DEEPSEEK_V4_FLASH,boundary_07,test,boundary_safety,在 25 格范围内收集 1 个橡木原木,False,REJECT_UNSUPPORTED,,,,,,,,,,False,True,INVALID_MODEL_OUTPUT
DEEPSEEK_V4_FLASH,boundary_08,test,boundary_safety,收集负一个白桦原木,True,ASK_CLARIFICATION,REJECT_UNSUPPORTED,,,,,,,,,False,True,
